analysis/agent-attribution	5ea977ae	2026-07-28 15:20:42 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
analysis/bluegreen-design	44f10f98	2026-07-29 10:53:50 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
analysis/bun-upgrade-path	3bc0d3a4	2026-07-29 10:41:02 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
analysis/cache-throttle	43c69952	2026-07-28 15:19:25 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
analysis/ccmax-502	9a7575c3	2026-07-28 15:18:35 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
analysis/issue-273-ops-mitigations	7ebda11d	2026-07-28 15:13:49 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
analysis/issue-273-retention	3a9f4677	2026-07-28 15:14:57 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
analysis/native-fallback	7e892f34	2026-07-28 15:17:48 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-10/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-100/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-100/usage-window-seven-day-rebased	95e827b4	2026-07-31 23:21:24 +0300	DELETE	ancestor of fix/multi-instance-guard
ao/ccflare-101/fix-runaway-loop-session-key	d75c8f35	2026-08-01 00:04:58 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-101/fix-runaway-loop-session-key-v2	946a2375	2026-07-31 23:05:00 +0200	DELETE	ancestor of fix/multi-instance-guard
ao/ccflare-101/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-102/rebase-insights-presentation	12ce70a5	2026-07-31 23:44:19 +0300	DELETE	ancestor of fix/multi-instance-guard
ao/ccflare-102/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-103/build-suffix-version-rebase	1362d2f0	2026-07-31 23:12:28 +0300	DELETE	ancestor of fix/multi-instance-guard
ao/ccflare-103/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-104/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-105/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-106/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-107/fix-runaway-loop-session-key	1f6eee35	2026-08-01 00:20:47 +0300	DELETE	ancestor of ao/ccflare-112/docs-multi-instance-guard-independent
ao/ccflare-107/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-108/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-109/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-11/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-110/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-111/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-111/stock-v3.5.46-validation	47d377a3	2026-08-01 11:10:10 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-112/deployment-multi-instance-doc	e6d70971	2026-08-01 12:52:35 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-112/docs-multi-instance-guard-independent	f090a171	2026-08-01 14:16:30 +0300	KEEP	named protected
ao/ccflare-112/multi-instance-guard-rebase	b478c0bb	2026-08-01 12:47:37 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-112/pr-376-add-greptile-fix	700155c3	2026-08-01 13:15:18 +0300	KEEP	named protected
ao/ccflare-112/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-112/stage-0-ha-finalize-report	b25725cd	2026-08-01 12:59:13 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-113/provenance	2ab14f37	2026-08-01 13:23:52 +0300	KEEP	named protected
ao/ccflare-113/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-114/issue-107-test-stability	f3524cd9	2026-08-01 15:18:19 +0300	KEEP	named protected
ao/ccflare-114/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-115/disable-inherited-workflows	d2f1d64a	2026-08-01 14:47:30 +0300	KEEP	named protected
ao/ccflare-115/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-116/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-117/root	053746c1	2026-07-27 23:47:12 +0200	KEEP	named protected
ao/ccflare-118/root	053746c1	2026-07-27 23:47:12 +0200	KEEP	named protected
ao/ccflare-12/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-13/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-14/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-15/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-16/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-17/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-18/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-19/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-2/feat/minimax-usage-tracking	bff80105	2026-07-22 23:21:11 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-2/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-21/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-22/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-23/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-24/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-25/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-26/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-27/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-28/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-29/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-3/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-30/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-31/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-32/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-33/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-34/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-35/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-36/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-37/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-38/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-39/root	3803084c	2026-07-28 14:28:35 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-4/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-40/root	6abe41fb	2026-07-28 14:18:02 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-41/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-42/root	c4171115	2026-07-29 14:48:16 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-43/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-44/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-45/root	8e148a7e	2026-07-29 14:48:23 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-46/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-47/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-48/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-49/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-5/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-50/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-51/root	82c16a80	2026-07-29 14:48:25 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-52/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-53/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-54/fix/cb-exhaustiveness-guard	2f969426	2026-07-28 16:11:07 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-54/root	053746c1	2026-07-27 23:47:12 +0200	DELETE	ancestor of ao/ccflare-117/root
ao/ccflare-55/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-56/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-57/root	24550bed	2026-07-28 16:36:35 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-58/root	9875114d	2026-07-28 17:27:16 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-59/qa-family-b	4cd4a8af	2026-07-28 17:34:20 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
ao/ccflare-59/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-6/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-60/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-61/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-62/root	9c44de10	2026-06-23 19:43:38 +0000	DELETE	merged into main
ao/ccflare-63/root	44f10f98	2026-07-29 10:53:50 +0300	NEEDS-DECISION	not merged to main, not ancestor of any protected ref
